#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
1910001,44315,22.5336,-0.21,-1.12,-0.805,0.01,0.004,1.028,-24.6,-4.6,12.6,
1920004,44325,22.5336,-0.402,-1.172,-0.822,0.008,0.002,1.026,-23.7,-4.8,11.7,
1930001,44335,22.5336,-0.752,-1.295,-0.805,0.007,0.002,1.03,-24.9,-4.8,11.8,
1940002,44345,22.5336,-0.595,-1.19,-0.805,0.007,0,1.026,-24.3,-5.1,11.4,
1950001,44355,22.5336,0.07,-1.085,-0.822,0.008,0,1.029,-24.6,-5.1,11.1,
1960004,44365,22.5144,0.49,-1.015,-0.84,0.006,0.005,1.027,-23.8,-4.9,12.1,
1970001,44375,22.5144,0.017,-1.155,-0.875,0.009,0.002,1.027,-23.1,-3.9,11.1,
1980002,44385,22.5144,-0.035,-1.172,-0.875,0.009,0.002,1.029,-23.2,-4.2,10.5,
1990001,44395,22.5144,0.035,-1.137,-0.892,0.008,0.002,1.027,-24.4,-4,11.5,
2000006,44405,22.5144,-0.052,-1.172,-0.857,0.007,0,1.028,-24.4,-4.2,11.7,
2010001,44415,22.5144,-0.105,-1.172,-0.84,0.008,-0.001,1.028,-23.5,-4.8,12.3,
2020002,44425,22.5144,-0.192,-1.19,-0.857,0.007,0,1.029,-24.7,-5.4,11.4,
2030001,44435,22.5144,-0.227,-1.172,-0.857,0.007,0,1.027,-23.8,-4.9,12,
2040004,44445,22.5144,-0.227,-1.155,-0.787,0.006,0.001,1.028,-24.3,-5.1,12,
2050001,44455,22.5144,-0.245,-1.207,-0.787,0.007,0.001,1.027,-24,-5.1,12,
2060002,44465,22.5144,-0.245,-1.155,-0.805,0.007,0.002,1.028,-24,-6,12,
2070001,44475,22.5144,-0.175,-1.155,-0.787,0.008,0.003,1.028,-23.7,-4.6,11.7,
2080004,44485,22.5144,-0.157,-1.172,-0.822,0.008,0.003,1.027,-23.2,-4.5,11.4,
2090001,44495,22.5144,-0.052,-1.155,-0.857,0.008,0.003,1.028,-23.7,-5.5,11.7,
2100002,44505,22.5144,0.035,-1.12,-0.822,0.008,0.002,1.027,-23.7,-4.3,12.1,
2110000,44515,22.5144,0.017,-1.155,-0.892,0.009,0.001,1.027,-23.7,-4.8,11.7,
2120004,44525,22.5528,-0.035,-1.137,-0.875,0.008,0.002,1.028,-23.7,-5.1,11.1,
2130001,44535,22.5528,-0.052,-1.085,-0.875,0.009,0.001,1.027,-24,-5.7,12.1,
2140003,44545,22.5528,-0.122,-1.19,-0.875,0.008,0.002,1.027,-22.8,-5.2,11.8,
2150001,44555,22.5528,-0.157,-1.172,-0.91,0.007,0.001,1.027,-23.5,-5.4,11.5,
2160005,44565,22.5528,-0.122,-1.137,-0.84,0.008,0.001,1.029,-24.3,-5.2,11.5,
2170001,44575,22.5528,-0.14,-1.155,-0.84,0.007,0,1.027,-25.3,-4.3,11.2,
2180002,44585,22.5528,-0.192,-1.137,-0.857,0.007,0,1.028,-24,-3.9,11.7,
2190001,44595,22.5528,-0.192,-1.155,-0.84,0.007,0,1.028,-23.7,-4.2,11.8,
2200004,44605,22.5528,-0.14,-1.155,-0.84,0.007,0.001,1.029,-24.1,-4.6,11.5,
2210001,44615,22.5336,-0.122,-1.12,-0.822,0.006,0.002,1.028,-24.7,-4.3,10.5,
2220003,44625,22.5336,-0.157,-1.207,-0.875,0.005,0,1.027,-24.1,-5.4,11.5,
2230001,44635,22.5336,-0.14,-1.19,-0.857,0.007,0.001,1.029,-24,-4.6,11.8,
2240004,44645,22.5336,-0.122,-1.19,-0.84,0.008,0.001,1.028,-22.8,-5.4,11.1,
2250002,44655,22.5336,-0.14,-1.155,-0.822,0.009,0.002,1.027,-23.8,-5.4,10.3,
2260002,44665,22.5336,-0.157,-1.172,-0.822,0.009,0.003,1.028,-24.1,-4.6,11.7,
2270001,44675,22.5336,-0.157,-1.137,-0.805,0.007,0.003,1.026,-23.4,-4.8,12.3,
2280004,44685,22.5336,-0.157,-1.137,-0.805,0.007,0.003,1.026,-24.3,-4.8,11.2,
2290001,44695,22.572,-0.175,-1.155,-0.805,0.007,0.002,1.028,-24.4,-5.1,11.1,
2300002,44705,22.572,-0.157,-1.172,-0.84,0.007,0.002,1.028,-23.5,-4.5,11.5,
2310001,44715,22.572,-0.087,-1.155,-0.857,0.007,0.001,1.028,-23.7,-5.2,11.4,
2320004,44725,22.572,-0.105,-1.102,-0.857,0.009,0.001,1.028,-22.6,-4.8,11.5,
2330001,44735,22.572,-0.157,-1.12,-0.84,0.009,0.002,1.028,-22.9,-4.6,11.2,
2340002,44745,22.572,-0.192,-1.172,-0.84,0.009,0.002,1.027,-24,-3.7,10.6,
2350001,44755,22.572,-0.297,-1.172,-0.857,0.007,0.001,1.028,-24.7,-4.8,11.2,
2360004,44765,22.572,-0.28,-1.172,-0.805,0.006,0,1.027,-24.3,-4.5,11.1,
2370001,44775,22.5144,-0.262,-1.207,-0.84,0.006,0,1.028,-23.7,-4.2,12.3,
2380002,44785,22.5144,-0.35,-1.19,-0.787,0.006,0,1.027,-23.8,-4.2,12.3,
2390001,44795,22.5144,-0.367,-1.172,-0.787,0.006,0,1.028,-24.4,-4.3,11.4,
2400004,44805,22.5144,-0.297,-1.155,-0.787,0.008,0,1.028,-22.9,-3.7,11.2,
2410001,44815,22.5144,-0.28,-1.137,-0.805,0.007,0.001,1.028,-23.2,-4.9,11.4,
2420002,44825,22.5144,-0.227,-1.19,-0.805,0.008,0.002,1.028,-23.2,-4.9,11.5,
2430001,44835,22.5144,-0.21,-1.172,-0.822,0.009,0.004,1.029,-24,-4.2,11.7,
2440004,44845,22.5144,-0.21,-1.172,-0.822,0.008,0.003,1.028,-23.5,-4.5,11.2,
2450001,44855,22.5144,-0.07,-1.172,-0.805,0.008,0.004,1.028,-24.1,-4.9,11.1,
2460002,44865,22.5144,-0.14,-1.137,-0.822,0.008,0.002,1.028,-22.3,-3.7,11.8,
2470001,44875,22.5144,-0.192,-1.155,-0.84,0.009,0.002,1.028,-22,-4.9,11.2,
2480004,44885,22.5144,-0.175,-1.155,-0.857,0.008,0,1.028,-23.2,-5.7,12.3,
2490001,44895,22.5144,-0.245,-1.172,-0.84,0.009,0,1.028,-22.3,-4,12.4,
2500004,44905,22.5144,-0.175,-1.155,-0.822,0.007,0,1.027,-22.9,-4.3,12,
2510001,44915,22.5144,-0.262,-1.172,-0.857,0.006,0.001,1.027,-23.1,-4.5,11.4,
2520004,44925,22.5144,-0.367,-1.207,-0.805,0.007,0,1.027,-23.2,-4.5,10.9,
2530001,44935,22.5144,-0.647,-1.26,-0.787,0.007,0.003,1.027,-22.9,-4.3,10.5,
2540002,44945,22.5144,-1.452,-1.417,-0.77,0.007,0.003,1.027,-23.8,-5.1,11.7,
2550001,44955,22.5144,-1.96,-1.54,-0.805,0.01,0,1.028,-23.1,-4.6,10.9,
2560004,44965,22.5144,-1.277,-1.382,-0.787,0.01,-0.002,1.029,-22.9,-3.6,11.4,
